img_name,comment
000u6xf6ah.jpg,i really like the colors .
00alrvto9c.jpg,nice color .
00bgjfnrv3.jpg,i think this is a little more light is a little more contrast .
00byqivuji.jpg,i think this is a little more contrast . great job .
00cf81arcm.jpg,"i think this is a bit too dark , but i like it ."
00d0mfipgf.jpg,i love the light and the blue .
00dcz5inji.jpg,nice colors .
00dghin3l5.jpg,i think this is a bit more contrast .
00dlnuha6f.jpg,nice use of light .
00dswkswq6.jpg,nice use of the colors .
00ekgcdpv9.jpg,i think this is a little too much contrast .
00f0e2nnzf.jpg,i think this is a good job .
00ficqcj0t.jpg,i think this is a bit too dark .
00fsrui657.jpg,"i think this is a little too dark , but i like this photo ."
00fyf1kftc.jpg,i love the colors . the colors .
00g3g35mn5.jpg,nice idea . i like the colors .
00hikq0kqb.jpg,i really like the colors .
00i4w70pks.jpg,nice job .
00kpy9bkj4.jpg,nice color .
00lfs0nnp9.jpg,i think this is a bit more contrast .
00lnakd110.jpg,i think this is a little too dark .
00m0fot82f.jpg,i think this is a little too dark and i like it .
00m3mgjagu.jpg,i love the colors and the blue .
00oxcejwwq.jpg,i like the colors . nice job .
00r98o891c.jpg,i think this is a great job .
00shuwi0ig.jpg,i love the colors and the colors .
00tpmt510f.jpg,i think this is a little too dark .
00ujc1lv6r.jpg,i think this is a good job .
00v05guybk.jpg,i think this is a bit more contrast . nice job .
00v0kem1zk.jpg,"nice idea , but i like the colors are great job !"
00xz877m66.jpg,"i think this is a bit too dark , but i like it ."
00yuvtqz2n.jpg,i think this is a lot of the image .
00yy1w519x.jpg,i think this is a great job .
0a0nbjgefy.jpg,i really like the colors .
0a22cfpsww.jpg,i think this is a little too much contrast .
0a2a1x0k6m.jpg,nice idea . good job .
0a401hg6vc.jpg,i think this is a little too dark .
0a5panhku8.jpg,i think this is a little more contrast .
0a6xosg379.jpg,i really like the colors .
0a7s93wb1f.jpg,i love the colors and the colors .
0a8aotgq26.jpg,i think this is a good job !
0a9ubz7qgx.jpg,i love this photo . i like the colors . i like the colors .
0a9wg0zk6w.jpg,nice detail .
0aa0j8ziql.jpg,i think this is a little dark .
0abkg39u3b.jpg,i think this is a bit too dark .
0acnf3ei4m.jpg,"i think this is a little too dark , but i like it ."
0ad1wf060x.jpg,i like the colors and the photo .
0ad96ddwe5.jpg,i think this is a little too dark .
0adc09mebv.jpg,i think it is a bit too dark .
0adde6fula.jpg,i think this is a little more contrast .
0aeh01c78b.jpg,i think this is a good job .
0aeqge10yv.jpg,i think this is a bit too dark .
0aev9yk418.jpg,i think this is a good job .
0af34m7ik3.jpg,i think this is a bit more contrast .
0afagwpwrw.jpg,i love the colors .
0ah9il93x0.jpg,i think this is a bit too dark .
0ajhde4bst.jpg,i think this is a bit too dark .
0ak39q4gn0.jpg,i think this is a bit more contrast .
0akf2s8347.jpg,nice colors .
0al8vwpunb.jpg,great job !
0anh5u4mrx.jpg,i think this is a good job .
0aoujzovsn.jpg,i think this is a bit more contrast .
0ap90v83oj.jpg,i like the light and the colors .
0aprdsnfb2.jpg,"i think this is a bit too dark , but i like it ."
0arorglqnl.jpg,i think this is a bit too dark .
0as7wdakkr.jpg,"i think this is a little too dark , but i like it ."
0ateutcphx.jpg,nice job !
0au2ww519k.jpg,i love the colors .
0aublt1htc.jpg,"i love the colors , but i like it ."
0ax5zzdy58.jpg,i think this is a little too dark .
0axak0tkd1.jpg,i think this is a bit too dark .
0axffp20h9.jpg,"i think this is a bit too dark , but i like it ."
0axlp65itk.jpg,i like the colors . nice job !
0azm7xsylc.jpg,nice use of the colors .
0b0vqg819u.jpg,i think this is a little too dark .
0b2qmqxy8t.jpg,i think this is a little dark .
0b3ss2qaod.jpg,i think this is a little more contrast .
0b449wsyf5.jpg,"i think this is a little too dark , but i like it ."
0b44rqetmh.jpg,i think this is a little more contrast . great job !
0b4jkgbkhg.jpg,i like the colors and the colors .
0b7mvtuw3a.jpg,i think this is a little too dark .
0b7xytmrq0.jpg,i like the colors and the colors .
0b8d8g4khe.jpg,i like this is a little more contrast .
0b9hg1v975.jpg,i think this is a bit more contrast . great job .
0banvkuwrl.jpg,nice color .
0bb4lglnee.jpg,nice job !
0bbukt4qrx.jpg,i think this is a lot of the image .
0bcwq4vbl5.jpg,i think this is a little more contrast .
0bdhm4vmzy.jpg,i think this is a bit too dark .
0bdmbgf7s1.jpg,nice use of the colors .
0bds4pdprj.jpg,nice job .
0bemxzfv2h.jpg,i like the colors and the colors .
0bes59un4m.jpg,i love the colors and the colors . the colors .
0beuxg093r.jpg,i love the colors .
0bf9m5gctz.jpg,i think this is a great job !
0bgftxsap3.jpg,"i think this is a little dark , but i like it ."
0bihubeyee.jpg,i love this image . i love the light .
0bisp53ph1.jpg,i think this is a little more contrast .
0biz87d6b3.jpg,"nice idea , but i like it ."
0bkpeccoyt.jpg,i think this is a little more contrast . good job .
0blu7ztrho.jpg,i think this is a great job !
0bm27utlzv.jpg,i think this is a bit too dark .
